순번,업종명,업소명,도로명주소,지번주소,행정동명,전화번호
5357,일반음식점,이건라이브,"대전광역시 서구 도마로 8, 지하1층 일부호 (도마동)",대전광역시 서구 도마동 50-8 ,도마1동,
5358,일반음식점,기봉이김밥 가수원점,"대전광역시 서구 도안동로11번길 54, 1층 104호 (도안동)",대전광역시 서구 도안동 1762 ,도안동,
5359,일반음식점,마리드엘 웨딩,"대전광역시 서구 만년로 69, 지하1층 일부호 (만년동)",대전광역시 서구 만년동 337 ,만년동,
5360,일반음식점,마리드엘 웨딩2,"대전광역시 서구 만년로 69, 1층 (만년동)",대전광역시 서구 만년동 337 ,만년동,
5361,일반음식점,깜상 도마지점,"대전광역시 서구 배재로 42-1, 1층 (도마동)",대전광역시 서구 도마동 549-2 ,도마1동,
5362,일반음식점,면식당 목원대점,"대전광역시 서구 도안북로 101, 도안타워 1층 101,102호 (도안동)",대전광역시 서구 도안동 878 도안타워 ,도안동,
5363,일반음식점,서대문김치찜&김치찌개 대전서구직영점,"대전광역시 서구 갈마중로42번길 39, 1층 일부호 (갈마동)",대전광역시 서구 갈마동 1151 ,갈마2동,
5364,일반음식점,이츠모,"대전광역시 서구 둔산로31번길 72, 1층 101(일부)호 (둔산동)",대전광역시 서구 둔산동 1001 ,둔산2동,
5365,일반음식점,맛짱수제족발,"대전광역시 서구 도마3길 30, 1층 일부호 (도마동)",대전광역시 서구 도마동 143-21 ,도마1동,
5366,일반음식점,호맥 대전 괴정점,"대전광역시 서구 용문로 35-15, 1층 (괴정동)",대전광역시 서구 괴정동 424-9 ,괴정동,
5367,일반음식점,고깃리88번지 관저점,"대전광역시 서구 구봉로131번길 23, 석영빌딩 1층 일부호 (관저동)",대전광역시 서구 관저동 1529 석영빌딩 ,관저2동,
5368,일반음식점,멕시카나치킨 도안점,"대전광역시 서구 도안북로93번길 25, 1층 108호 (도안동)",대전광역시 서구 도안동 847 ,도안동,
5369,일반음식점,넘버원타코,"대전광역시 서구 구봉로 133, 1층 105호 (관저동)",대전광역시 서구 관저동 1542 ,관저2동,
5370,일반음식점,썬더치킨 괴정점,"대전광역시 서구 계룡로 560, 2층 일부호 (괴정동)",대전광역시 서구 괴정동 1-1 ,괴정동,
5371,일반음식점,충만치킨 복수동점,"대전광역시 서구 복수동로 44, 대광빌딩 1층 일부호 (복수동)",대전광역시 서구 복수동 483 대광빌딩 ,복수동,
5372,일반음식점,고돼지 도마점,"대전광역시 서구 도마로7번길 35, 1층 일부호 (도마동)",대전광역시 서구 도마동 24-31 ,도마1동,042 -533 -0313
5373,일반음식점,주식회사 사계절푸드빌,"대전광역시 서구 계룡로342번길 55, 1층 일부호 (갈마동)",대전광역시 서구 갈마동 305-34 ,갈마1동,
5374,일반음식점,커피563,"대전광역시 서구 도솔로 423, 1층 일부호 (탄방동)",대전광역시 서구 탄방동 56-3 ,탄방동,
5375,일반음식점,88구이,"대전광역시 서구 둔산로31번길 72, 1층 102호 (둔산동)",대전광역시 서구 둔산동 1001 ,둔산2동,
5376,일반음식점,요고웰니스카페,"대전광역시 서구 둔산로123번길 43, PJ빌딩 1층 일부호 (둔산동)",대전광역시 서구 둔산동 1397 PJ빌딩 ,둔산1동,
5377,일반음식점,오렌지보틀 관저마치점,"대전광역시 서구 구봉로 133, 1층 101호 (관저동)",대전광역시 서구 관저동 1542 ,관저2동,
5378,일반음식점,주둥이아지트,"대전광역시 서구 정림동로 3, 1층 일부호 (정림동)",대전광역시 서구 정림동 630 ,정림동,
5379,일반음식점,삼오식당2,"대전광역시 서구 만년로 70, 9층 (만년동)",대전광역시 서구 만년동 339 ,만년동,042 -487 -3355
5380,일반음식점,삼오식당1,"대전광역시 서구 만년로 70, 1층 일부호 (만년동)",대전광역시 서구 만년동 339 ,만년동,042 -487 -3355
5381,일반음식점,넘버원 하우스,"대전광역시 서구 대덕대로 325, 3층 3호 (월평동)",대전광역시 서구 월평동 243 ,월평2동,042 -483 -0753
5382,일반음식점,"땀바이, 대전","대전광역시 서구 계룡로585번길 34, 1층 일부호 (탄방동)",대전광역시 서구 탄방동 56-9 ,탄방동,
5383,일반음식점,육미미,"대전광역시 서구 둔산대로117번길 95, 리더스타운 E동 1층 101,102호 (만년동)",대전광역시 서구 만년동 306 리더스타운 ,만년동,
5384,일반음식점,월돈가,"대전광역시 서구 월평로 33, 1층 (월평동)",대전광역시 서구 월평동 339 ,월평1동,
5385,일반음식점,와타요업,"대전광역시 서구 계룡로603번길 29, 1층 (탄방동)",대전광역시 서구 탄방동 58-32 ,탄방동,
5386,일반음식점,범프리카 인생치킨 목원대점,"대전광역시 서구 도안북로93번길 25, 1층 102호 (도안동)",대전광역시 서구 도안동 847 ,도안동,
5387,일반음식점,마마밥상,"대전광역시 서구 갈마로69번길 17, 1층 일부호 (갈마동)",대전광역시 서구 갈마동 352-13 ,갈마2동,
5388,일반음식점,또친,"대전광역시 서구 용문로 41-80, 1층 110호 (괴정동, 리베라 아이누리)",대전광역시 서구 괴정동 426-1 리베라 아이누리 ,괴정동,
5389,일반음식점,고기생각 숯불바베큐 월평점,"대전광역시 서구 청사서로 44, 1층 일부호 (월평동)",대전광역시 서구 월평동 264 ,월평2동,
5390,일반음식점,카페 일오이오,"대전광역시 서구 관저중로64번길 24, 1~3층 (관저동)",대전광역시 서구 관저동 1525 ,관저2동,042 -822 -5510
5391,일반음식점,치킨인류 대전둔산점,"대전광역시 서구 둔산로 8, 1층 102호 (둔산동)",대전광역시 서구 둔산동 1091 ,둔산2동,
5392,일반음식점,클로버하우스,"대전광역시 서구 갈마중로38번길 16, 1층 일부호 (갈마동)",대전광역시 서구 갈마동 347-21 ,갈마2동,
5393,일반음식점,카린지린가네스낵바(대전둔산점),"대전광역시 서구 둔산로31번길 10-23, 1층 일부호 (둔산동)",대전광역시 서구 둔산동 1014 ,둔산2동,
5394,일반음식점,국밥참맛있는집(대전시청점),"대전광역시 서구 문예로 73, 1층 F101-3호 (둔산동)",대전광역시 서구 둔산동 1389 ,둔산1동,
5395,일반음식점,림춘 대전월평점,"대전광역시 서구 한밭대로570번길 29-12, 2층 일부호 (월평동)",대전광역시 서구 월평동 511 ,월평1동,
5396,일반음식점,남빙고생맥주 도안점,"대전광역시 서구 용소로12번길 16-12, 1층 (도안동)",대전광역시 서구 도안동 1650 ,도안동,
5397,일반음식점,올데이파스타 서구점,"대전광역시 서구 갈마로147번길 5-20, 상상이상 1층 일부호 (갈마동)",대전광역시 서구 갈마동 1278 상상이상 ,갈마2동,
